Image,Letter,Center_x,Center_y,Distance_x,Distance_y
dataset\k1.jpg,n,431,286,63,88
dataset\k1.jpg,o,478,294,36,50
dataset\k1.jpg,t,508,294,36,50
dataset\k1.jpg,o,581,292,36,50
dataset\k1.jpg,n,611,294,32,46
dataset\k1.jpg,l,634,277,28,39
dataset\k1.jpg,y,659,294,37,52
dataset\k1.jpg,t,749,260,37,52
dataset\k1.jpg,a,789,257,37,52
dataset\k1.jpg,c,817,250,30,43
dataset\k1.jpg,k,844,247,30,43
dataset\k1.jpg,l,873,241,28,40
dataset\k1.jpg,e,891,245,25,36
dataset\k1.jpg,s,915,242,28,39
dataset\k1.jpg,t,997,223,28,39
dataset\k1.jpg,h,1031,212,40,56
dataset\k1.jpg,e,1063,206,40,56
dataset\k1.jpg,i,1146,192,35,49
dataset\k1.jpg,m,1194,198,56,77
dataset\k1.jpg,m,1249,186,56,78
dataset\k1.jpg,e,1289,180,43,61
dataset\k1.jpg,d,1326,163,43,60
dataset\k1.jpg,i,1356,162,35,48
dataset\k1.jpg,a,1383,160,35,48
dataset\k1.jpg,t,1412,135,35,48
dataset\k1.jpg,e,1443,132,35,49
dataset\k1.jpg,c,1515,128,35,49
dataset\k1.jpg,o,1543,128,35,49
dataset\k1.jpg,n,1570,122,32,43
dataset\k1.jpg,s,1594,109,32,44
dataset\k1.jpg,e,1619,113,28,40
dataset\k1.jpg,q,1649,114,36,50
dataset\k1.jpg,u,1689,100,50,70
dataset\k1.jpg,e,1726,82,43,61
dataset\k1.jpg,n,1758,80,43,61
dataset\k1.jpg,c,1802,84,43,61
dataset\k1.jpg,e,1833,82,43,61
dataset\k1.jpg,s,1867,69,43,61
dataset\k1.jpg,o,1927,63,43,60
dataset\k1.jpg,f,1962,69,43,60
dataset\k1.jpg,t,339,447,48,67
dataset\k1.jpg,h,376,446,48,67
dataset\k1.jpg,e,418,446,48,67
dataset\k1.jpg,o,492,442,41,59
dataset\k1.jpg,f,522,440,32,44
dataset\k1.jpg,f,546,437,32,44
dataset\k1.jpg,e,565,431,30,42
dataset\k1.jpg,n,600,431,37,52
dataset\k1.jpg,s,633,415,37,52
dataset\k1.jpg,e,664,410,37,52
dataset\k1.jpg,b,763,401,37,52
dataset\k1.jpg,u,795,402,37,52
dataset\k1.jpg,t,837,390,37,52
dataset\k1.jpg,a,915,370,37,52
dataset\k1.jpg,l,940,365,33,47
dataset\k1.jpg,s,962,366,33,47
dataset\k1.jpg,o,990,366,33,47
dataset\k1.jpg,t,1077,345,33,47
dataset\k1.jpg,o,1115,340,33,47
dataset\k1.jpg,r,1207,326,33,47
dataset\k1.jpg,e,1238,326,33,47
dataset\k1.jpg,b,1267,316,33,47
dataset\k1.jpg,u,1304,313,37,52
dataset\k1.jpg,i,1337,313,37,52
dataset\k1.jpg,l,1353,294,28,40
dataset\k1.jpg,d,1381,291,41,59
dataset\k1.jpg,t,1451,286,41,59
dataset\k1.jpg,r,1483,286,41,59
dataset\k1.jpg,u,1520,278,41,59
dataset\k1.jpg,s,1547,267,41,59
dataset\k1.jpg,t,1582,258,41,59
dataset\k1.jpg,a,1676,248,41,59
dataset\k1.jpg,n,1718,250,41,59
dataset\k1.jpg,d,1762,236,41,58
dataset\k1.jpg,u,292,592,41,59
dataset\k1.jpg,n,327,579,41,59
dataset\k1.jpg,d,363,577,41,59
dataset\k1.jpg,e,390,575,32,44
dataset\k1.jpg,r,410,575,28,40
dataset\k1.jpg,s,433,574,28,40
