Image,Letter,Center_x,Center_y,Distance_x,Distance_y
dataset\a1.jpg,a,299,375,50,70
dataset\a1.jpg,a,440,383,50,70
dataset\a1.jpg,a,588,370,77,108
dataset\a1.jpg,a,775,378,77,108
dataset\a1.jpg,a,910,384,77,108
dataset\a1.jpg,a,1085,389,66,94
dataset\a1.jpg,a,1306,381,66,94
dataset\a1.jpg,a,1443,383,66,93
dataset\a1.jpg,a,1630,377,66,94
dataset\a1.jpg,a,1758,363,66,93
dataset\a1.jpg,a,1873,361,66,94
dataset\a1.jpg,A,282,459,67,93
dataset\a1.jpg,A,426,458,67,93
dataset\a1.jpg,A,575,470,66,93
dataset\a1.jpg,A,759,471,66,93
dataset\a1.jpg,A,927,478,66,93
dataset\a1.jpg,A,1087,478,66,93
dataset\a1.jpg,A,1291,471,63,88
dataset\a1.jpg,A,1409,469,63,87
dataset\a1.jpg,A,1574,466,63,88
dataset\a1.jpg,A,1726,453,66,94
dataset\a1.jpg,A,1850,447,66,93
dataset\a1.jpg,b,298,545,59,82
dataset\a1.jpg,b,434,551,59,82
dataset\a1.jpg,b,579,554,59,82
dataset\a1.jpg,b,770,562,66,94
dataset\a1.jpg,b,939,562,66,94
dataset\a1.jpg,b,1083,559,66,94
dataset\a1.jpg,b,1290,559,66,94
dataset\a1.jpg,b,1426,558,66,94
dataset\a1.jpg,b,1587,554,66,94
dataset\a1.jpg,b,1719,557,66,94
dataset\a1.jpg,b,1894,542,66,94
dataset\a1.jpg,B,291,634,67,94
dataset\a1.jpg,B,431,641,67,94
dataset\a1.jpg,B,587,641,66,94
dataset\a1.jpg,B,777,649,66,94
dataset\a1.jpg,B,941,650,66,94
dataset\a1.jpg,B,1101,651,66,94
dataset\a1.jpg,B,1303,645,66,94
dataset\a1.jpg,B,1447,647,66,94
dataset\a1.jpg,B,1583,641,66,94
dataset\a1.jpg,B,1698,639,66,94
dataset\a1.jpg,B,1868,632,72,100
dataset\a1.jpg,c,297,722,62,87
dataset\a1.jpg,c,424,724,63,87
dataset\a1.jpg,c,582,734,63,87
dataset\a1.jpg,c,759,735,66,94
dataset\a1.jpg,c,945,734,66,94
dataset\a1.jpg,c,1090,738,66,94
dataset\a1.jpg,c,1309,733,66,94
dataset\a1.jpg,c,1446,726,66,94
dataset\a1.jpg,c,1567,727,66,94
dataset\a1.jpg,c,1707,727,66,94
dataset\a1.jpg,c,1863,723,66,94
dataset\a1.jpg,C,293,813,66,94
dataset\a1.jpg,C,427,815,67,94
